@3A4NIXBJ77D83R0UR270XS6I7MPLMV@|@3YD0MU1NC2F5ZL4A03BJHCYTG6MA75@|@A2O918DE32Y71I@|@a10@|@"outside the mine"@
@3XM0HYN6NLD0IONF2WCO11AT3UYPE7@|@3ZXNP4Z39RZMV4VEXU09QQE4AIL7LK@|@A3CF8ULBSE8MTL@|@b7@|@{"unassigned":[],"if_block":[{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]}],"then_block":[{"name":"fullEvacuation","variables":[]}]}@
@3K9FOBBF2IXEL9LU33M0A7VICC0NLY@|@3G9UA71JVV8G0E7EU9OWAB1C6TG7JI@|@A2SRC38HIJ2X19@|@b0@|@{"unassigned":[],"if_block":[{"name":"PersonInTunnel","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]},{"name":"TunnelInGeofencedArea","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"variable","val":"C"}]}],"then_block":[{"name":"recall","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3LEP4MGT3HETMO85NWJ30ZNJMEKDBJ@|@3DW3BNF1GHWTRNCRL3ULRZ81C0SV8D@|@A14V2G8AZ32MFW@|@a2@|@{"unassigned":[{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"?"}]},{"name":"CarbonMonoxideOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"B"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"variable","val":"?"}]}],"if_block":[],"then_block":[]}@
@3U8YCDAGXQUMRA90U2SYGHYZEPBQ0E@|@3TFJJUELSH3M6Z42E5QFRG795TLC2T@|@A33B85TN97HQ33@|@a2@|@{"unassigned":[{"name":"CarbonMonoxideOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#string","val":"greater than 78"}]},{"name":"subClass","variables":[{"varnum":"0","type":"URI","val":"example:MainTunnel"},{"varnum":"1","type":"URI","val":"example:Tunnel"}]},{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#string","val":"greater than 48"}]}],"if_block":[],"then_block":[]}@
@3J2UYBXQQMQTHSQGFTE0ACH8EO060Y@|@3TLFH2L6Y923SG6D0RL5GQ7DTFL2T2@|@AJFVK3O1D7SPE@|@b3@|@{"unassigned":[],"if_block":[{"name":"TemperatureOfTunnel","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]},{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#string","val":"38"}]}],"then_block":[{"name":"evacuate","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3180JW2OT5Q40UROWIE10BI4H2VJ52@|@3TLFH2L6Y923SG6D0RL5GQ7DTFL2T2@|@A14V2G8AZ32MFW@|@b3@|@{"unassigned":[{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]}],"if_block":[{"name":"hasTemperature","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"X"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"?"}]}],"then_block":[{"name":"evacuate","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3YHH42UU5CTB0DTN2XK2ZVZ54JPL0L@|@3YD0MU1NC2F5ZL4A03BJHCYTG6MA75@|@A3A865DIHN6C6@|@a10@|@{"unassigned":[{"name":"TemperatureOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"B"}]},{"name":"<","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"C"}]}],"if_block":[],"then_block":[]}@
@3X4JMASXCNNZN47BBKV8LS30SPBB0O@|@33TGB4G0LPV4TW9AOG6Y6G196OLXT7@|@A1IGS7YC1HX4ZC@|@b2@|@{"unassigned":[],"if_block":[{"name":"fire","variables":[{"varnum":"0","type":"variable","val":"A"}]},{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]}],"then_block":[{"name":"dispatchFireTeam","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@320DUZ38G802GRG8DEXS489T7B9GJH@|@3I7SHAD35MA61MDZX61OQ3TTANB7MM@|@A1ELPYAFO7MANS@|@b1@|@{"unassigned":[],"if_block":[{"name":"fire","variables":[{"varnum":"0","type":"variable","val":"A"}]}],"then_block":[{"name":"fullEvacuation","variables":[]}]}@
